בר;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=38&zoom=width&showposition=0.5,0.79&highlight=4084,1195,106,98;2-032 GBUR Syr. Samar. Chald. bar foris, in agris
בור;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=38&zoom=width&showposition=0.5,0.79&highlight=3067,1120,148,89;2-032 GBUR Hebr. agrestis
אגרזס;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=118&zoom=width&showposition=0.5,0.45&highlight=2707,3603,226,106;2-112 GRABIĆ Hebr. egroph pugnus
גרס;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=118&zoom=width&showposition=0.5,0.45&highlight=3685,3598,156,109;!2-112 GRABIĆ Hebr. verrit
הרה;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=162&zoom=width&showposition=0.5,0.64&highlight=3690,2332,154,98;2-156 GWAR Syr. litigavit
גער;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=162&zoom=width&showposition=0.5,0.64&highlight=4408,2329,157,90;2-156 GWAR Hebr. gaar increpuit
הרית;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=163&zoom=width&showposition=0.5,0.79&highlight=3626,1198,210,112;2-157 litigavit
גער;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=163&zoom=width&showposition=0.5,0.79&highlight=2366,1117,157,106;2-157gaar objurgavit
הרף;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=170&zoom=width&showposition=0.5,0.6&highlight=827,1623,170,100;2-164 litigavit
קים;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=334&zoom=width&showposition=0.5,0.2&highlight=964,5092,162,92;2-328 manducavit
קטץ;http://teksty.klf.uw.edu.pl/26/3/LindeIIGP+2i.djvu?djvuopts=&page=334&zoom=width&showposition=0.5,0.2&highlight=595,4991,190,109;2-328 secuit, discidit
